id,true_0,score_0,score_1,score_2,score_3,score_4
0,0.0,0.88739896,0.04955485,0.04114123,0.013929863,0.007975101
1,0.0,0.122245714,0.12709932,0.40274805,0.24765833,0.10024861
2,0.0,0.9804699,0.010866342,0.00809248,0.00021100992,0.0003602165
3,0.0,0.7372775,0.0979035,0.090468004,0.058799766,0.015551193
4,0.0,0.14904056,0.17332183,0.32580367,0.24682495,0.10500896
5,2.0,0.75701064,0.078130886,0.116575494,0.033886544,0.014396397
6,2.0,0.16477112,0.16312993,0.33239004,0.2325329,0.107176036
7,0.0,0.9821555,0.015270906,0.0021345974,0.0002764307,0.00016253824
8,1.0,0.55458033,0.14662154,0.18221523,0.09789218,0.018690651
9,0.0,0.9962786,0.002698216,0.00083736196,8.929628e-05,9.642936e-05
10,3.0,0.14072736,0.14222643,0.33652127,0.29154652,0.08897845
11,2.0,0.64790577,0.1183345,0.14381243,0.07111634,0.018831024
12,0.0,0.51171905,0.13978553,0.19563712,0.10933623,0.04352215
13,3.0,0.14620775,0.16488288,0.31336817,0.26830485,0.10723631
14,4.0,0.14810422,0.16640346,0.31124106,0.26810417,0.10614711
15,4.0,0.15116271,0.165796,0.35235512,0.238346,0.09234017
16,0.0,0.14909834,0.20462254,0.31894532,0.21991141,0.10742241
17,3.0,0.15746476,0.1566067,0.35986874,0.24540308,0.0806567
18,0.0,0.96936643,0.019908153,0.009913926,0.00042565443,0.00038584217
19,3.0,0.27424276,0.1491389,0.31180587,0.1994306,0.06538191
20,4.0,0.13922179,0.15410775,0.34588352,0.2661259,0.0946611
21,0.0,0.80047065,0.08989592,0.06809668,0.031622976,0.009913768
22,0.0,0.9369786,0.045734398,0.015682483,0.0007736983,0.0008307901
23,0.0,0.9975413,0.0015304413,0.00073101727,9.775083e-05,9.9562036e-05
24,0.0,0.19302107,0.14776714,0.3534502,0.2284451,0.07731646
25,0.0,0.5727528,0.13553262,0.16474117,0.09440274,0.03257064
26,2.0,0.48868248,0.085813,0.38967118,0.031428806,0.0044045076
27,0.0,0.97551775,0.012281988,0.008957819,0.002284444,0.0009580423
28,4.0,0.61266273,0.050338943,0.19676955,0.06460725,0.07562157
29,0.0,0.7373256,0.10221041,0.103817195,0.04523678,0.011410037
30,0.0,0.18985598,0.18899377,0.3001497,0.19433597,0.12666458
31,0.0,0.20644279,0.15498725,0.36910492,0.19538502,0.07408005
32,3.0,0.1654944,0.5087251,0.08967761,0.22621988,0.009883011
33,2.0,0.17343017,0.16321672,0.34828556,0.23159166,0.08347595
34,0.0,0.9915285,0.006348279,0.0017226771,0.00019926958,0.0002013303
35,0.0,0.15499605,0.18587726,0.35667178,0.20615649,0.09629842
36,2.0,0.18760335,0.17391588,0.38237798,0.18469004,0.07141274
