id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6
0,5.0,4.447329e-05,7.206113e-05,0.0010050548,0.00035857817,0.0003812199,0.99812645,1.208427e-05
1,5.0,0.00023873542,0.0005967019,0.004030874,0.00054682273,0.0051957965,0.98917097,0.00022013439
2,5.0,2.8890043e-05,4.3824064e-05,3.880979e-05,0.00033618306,9.272096e-05,0.999335,0.00012449622
3,4.0,0.00028647276,7.255541e-05,0.002923597,9.2439754e-05,0.5984673,0.39810777,4.9881062e-05
4,4.0,0.0014562553,3.728833e-06,0.002853764,8.827456e-06,0.9754984,0.01655041,0.0036286332
5,2.0,0.015878493,0.00092940644,0.8983336,0.007429825,0.07424811,0.0031391873,4.133601e-05
6,5.0,3.1467705e-05,9.151573e-06,0.0003955222,2.941342e-05,7.360641e-05,0.99927896,0.00018185217
7,4.0,0.00047687,5.539554e-06,0.0011403767,2.4206996e-05,0.99802136,0.00032476164,6.828554e-06
8,1.0,0.60088056,0.29358548,0.04149167,0.01088993,0.03363937,0.00069649896,0.018816547
9,1.0,0.023792347,0.7815057,0.0003793652,0.025063599,0.001010365,0.08338287,0.08486575
10,5.0,5.4691624e-05,2.5462556e-05,0.00046594293,5.5830187e-05,0.0076432195,0.99174577,9.143714e-06
11,5.0,7.601832e-07,1.2420507e-05,0.00011925694,6.146689e-05,0.0002995638,0.9994947,1.1897742e-05
12,5.0,6.7058013e-06,2.014751e-06,2.5220981e-05,6.3645116e-06,0.0055746674,0.9943276,5.7332032e-05
13,5.0,0.0002142911,8.9143185e-05,0.002099058,0.00020922624,0.030019674,0.9672657,0.000102823775
14,2.0,0.0059178984,0.0011459083,0.9841511,0.007106762,0.000272489,0.0012287595,0.00017699132
15,2.0,0.00010547177,2.1397595e-06,0.9851953,0.0001280457,0.009025059,0.005543468,5.7732717e-07
16,2.0,0.051464304,0.07457662,0.83391047,0.035725787,0.00023806674,0.0012992204,0.00278557
17,5.0,0.00017435172,4.6991063e-05,0.0032375262,0.00048518405,0.0015301197,0.99441963,0.00010616275
18,5.0,2.7477088e-05,2.1715818e-05,0.000121757046,0.00013352197,0.00016889886,0.99950147,2.512922e-05
19,2.0,0.037573397,0.029879553,0.7137024,0.058652297,0.017770085,0.14084373,0.0015785432
20,5.0,9.322645e-06,5.78393e-07,4.3954882e-05,3.4889342e-06,0.0018017859,0.9980659,7.4952826e-05
21,4.0,0.00041982078,4.27491e-06,7.843939e-05,3.0113913e-06,0.9994906,3.6608023e-06,1.3829235e-07
22,0.0,0.1464729,0.007047482,0.010758467,0.0058589606,0.8262451,0.0034270314,0.00018998969
23,5.0,0.0004718121,0.0011795055,0.001412057,0.0006054768,0.0037395381,0.99250484,8.6900654e-05
24,5.0,1.8851824e-05,4.260173e-06,0.00034486924,1.0167314e-05,0.00048777426,0.9990941,4.0030412e-05
25,5.0,1.5641691e-06,1.1371701e-07,3.8518614e-05,1.527863e-07,2.2133538e-05,0.99993,7.550959e-06
26,5.0,4.0633662e-05,6.482607e-06,0.00010107532,3.517191e-05,0.0023843646,0.9974004,3.1846255e-05
27,5.0,9.401719e-06,1.1055811e-05,0.0001535484,3.9181716e-05,1.2010313e-05,0.9996877,8.704433e-05
28,5.0,9.805208e-06,4.4483648e-05,0.00026082704,0.00012476783,4.9855444e-05,0.99934095,0.00016935992
29,5.0,1.1776441e-05,2.724783e-05,0.0010917109,0.00010925378,0.057622083,0.9411092,2.8706694e-05
30,5.0,5.0130897e-08,2.3749907e-08,2.2863774e-06,2.4562547e-07,2.414296e-05,0.99997306,2.544403e-07
31,5.0,2.1435562e-06,4.6974472e-07,0.00012875421,6.352207e-06,1.075933e-05,0.99984264,8.906205e-06
32,5.0,1.01847745e-05,6.3864564e-07,0.00011662062,3.2389487e-06,0.0027199057,0.9971002,4.9273396e-05
33,5.0,2.2429364e-05,4.129771e-06,0.0009264369,5.2633637e-05,0.00010960872,0.9988206,6.405682e-05
34,5.0,0.00024306799,5.4410022e-05,0.00044857588,0.0001397903,0.0487877,0.95027536,5.1181873e-05
35,5.0,2.2992514e-05,0.00018574389,0.0012697558,0.00027506333,0.0031853872,0.9947305,0.00033056265
36,5.0,7.012915e-05,1.9638677e-05,0.0005025776,6.643831e-05,0.0040108035,0.9952727,5.7679405e-05
37,1.0,0.018040562,0.89379,0.04556503,0.02241151,9.370456e-05,0.0041817725,0.015917385
38,4.0,3.804531e-05,1.3108324e-06,3.4346893e-05,7.379265e-07,0.99992216,3.252229e-06,1.8121388e-07
39,2.0,0.106924854,0.0154676335,0.75888604,0.086229995,0.002873628,0.015764507,0.013853391
40,5.0,9.209124e-07,7.3588166e-07,6.0269504e-06,5.199631e-06,4.4601115e-06,0.9999701,1.2544317e-05
41,5.0,3.90345e-05,2.3507984e-05,0.0006220154,0.00027345118,0.00048483073,0.9985251,3.2201362e-05
42,2.0,0.0005374987,0.0021980228,0.4516106,0.007092517,0.0024808482,0.5355429,0.00053763227
43,3.0,0.3011302,0.016765684,0.1863453,0.04506386,0.4277935,0.02043429,0.0024671555
44,2.0,0.006403749,0.0018936443,0.93007547,0.0047337357,0.05287109,0.0036688203,0.00035353817
45,5.0,7.477781e-06,9.844978e-06,6.65211e-05,0.00011466839,7.806746e-05,0.999571,0.00015239252
46,5.0,3.5415913e-05,1.1837123e-05,0.00023518322,3.5916346e-05,0.08197913,0.9176409,6.16745e-05
47,5.0,3.139871e-05,7.983396e-06,0.00010220716,1.245011e-05,0.63294333,0.36682886,7.385939e-05
48,2.0,0.008526754,0.00059159147,0.98729336,0.0013301392,0.0022115333,4.5873392e-05,6.7286527e-07
49,4.0,7.7189776e-05,6.8308614e-06,0.0007688195,8.985559e-06,0.998889,0.00023676449,1.23908985e-05
50,5.0,0.0017485974,0.009431744,0.014088172,0.0056610163,0.0020408873,0.96641034,0.0006191892
51,1.0,0.20874846,0.713967,0.0025499384,0.04189867,2.3659102e-05,0.0017724691,0.031039793
52,5.0,0.0011994197,0.00016490165,0.012695223,0.0016283322,0.009246098,0.96927667,0.005789411
53,5.0,1.3563844e-06,5.066237e-08,2.6610072e-05,1.9691049e-07,6.719388e-05,0.9998969,7.733226e-06
54,5.0,0.00011808389,4.2849126e-05,0.00068353926,7.935931e-05,0.0015279544,0.99715805,0.00039018277
55,5.0,0.0012209642,0.0003828296,0.011105765,0.0009819668,0.002191915,0.9840598,5.6821824e-05
56,5.0,0.0024078444,0.00035124473,0.03797358,0.0016390034,0.34161013,0.61558694,0.0004313307
57,2.0,0.0064959577,0.0017580398,0.9530141,0.009652401,0.020772785,0.008265921,4.0828116e-05
58,1.0,0.088948295,0.79463243,0.003580654,0.044860374,0.00015845224,0.0031564133,0.06466336
59,5.0,0.00015625305,0.00013865743,0.0027479753,0.00041225192,0.01344046,0.9827139,0.00039044462
60,5.0,0.00085460703,0.00014939411,0.016490342,0.00046449242,0.0016834607,0.97923595,0.001121788
61,4.0,0.032726888,0.010607482,0.014997572,0.0040333113,0.93635166,0.000983205,0.0002998377
62,6.0,0.025559524,0.22182465,0.00067428517,0.024486175,0.13447933,0.23820435,0.35477164
63,5.0,0.00029224012,0.00012052813,0.0034787215,0.000829195,0.002195617,0.9927158,0.0003679215
64,5.0,3.5575458e-09,8.4388345e-09,4.510868e-06,1.5463027e-07,4.2936106e-05,0.99995244,4.8852552e-08
65,5.0,1.0565825e-05,2.446109e-06,0.00010964911,7.382916e-05,7.881493e-05,0.99972147,3.2582313e-06
66,5.0,3.4086795e-05,8.020219e-06,0.0054702805,1.8026401e-05,0.09262081,0.9007368,0.0011119215
