id,true_0,score_0,score_1
0,0.0,0.9999945,5.4543634e-06
1,1.0,8.643713e-06,0.9999913
2,1.0,1.1651526e-05,0.9999883
3,0.0,1.0,1.1801268e-09
4,1.0,0.00042692656,0.99957305
5,1.0,3.0804006e-06,0.9999969
6,0.0,0.9996736,0.00032635953
7,1.0,8.917149e-07,0.99999917
8,0.0,0.9999995,4.3789055e-07
9,1.0,6.5611903e-06,0.99999344
10,1.0,3.222299e-05,0.9999678
11,1.0,2.203088e-05,0.99997795
12,0.0,0.9999689,3.1121082e-05
13,0.0,0.99999535,4.6531927e-06
14,1.0,0.00029490676,0.999705
15,1.0,2.6850177e-05,0.9999732
16,0.0,0.9997156,0.0002843295
17,1.0,2.0526647e-06,0.999998
18,1.0,3.516435e-05,0.99996483
19,1.0,9.403287e-06,0.9999906
20,1.0,1.3126695e-05,0.9999869
21,1.0,5.4933098e-05,0.99994504
22,1.0,5.5995777e-05,0.999944
23,1.0,1.8963653e-06,0.9999981
24,0.0,0.99999845,1.5119984e-06
25,1.0,0.00044753865,0.9995524
26,1.0,0.0001042024,0.9998958
27,1.0,1.3673138e-05,0.9999863
28,0.0,0.99995255,4.7497397e-05
29,1.0,8.515213e-05,0.9999149
30,1.0,7.330404e-07,0.9999993
31,1.0,8.334944e-06,0.99999166
32,1.0,6.216671e-06,0.9999938
33,1.0,2.2607617e-06,0.99999774
34,0.0,0.9999862,1.3814165e-05
35,1.0,2.2464876e-05,0.9999776
36,1.0,2.4890087e-05,0.9999751
37,1.0,3.0084959e-05,0.99996996
38,1.0,6.676483e-05,0.99993324
39,1.0,1.1125124e-07,0.9999999
40,1.0,3.0039546e-05,0.99996996
41,1.0,4.2321004e-05,0.9999577
42,1.0,1.1225459e-06,0.9999989
43,1.0,3.0558488e-06,0.9999969
44,1.0,5.1293737e-05,0.99994874
45,1.0,1.0936151e-05,0.99998903
46,1.0,6.748977e-07,0.9999993
47,0.0,0.99995816,4.1829364e-05
48,1.0,4.165111e-06,0.9999958
49,0.0,0.9999738,2.6223857e-05
