id,true_0,score_0,score_1
0,1.0,0.0012278568,0.9987721
1,1.0,1.2812619e-21,1.0
2,1.0,1.0119177e-10,1.0
3,1.0,0.0006762835,0.9993237
4,1.0,0.00082749466,0.9991725
5,1.0,0.00077325373,0.9992267
6,1.0,7.305615e-07,0.9999993
7,1.0,0.001151336,0.9988487
8,1.0,8.4911306e-05,0.9999151
9,0.0,0.99999654,3.4517366e-06
10,0.0,0.99999523,4.82561e-06
11,0.0,0.9999764,2.3618522e-05
12,0.0,0.9997334,0.0002665772
13,1.0,0.000117118405,0.9998828
14,1.0,9.29484e-12,1.0
15,1.0,0.0018524281,0.9981476
16,1.0,0.0010257541,0.9989743
17,1.0,3.187707e-05,0.9999682
18,1.0,0.0023753738,0.9976246
19,1.0,6.763661e-05,0.9999324
20,0.0,0.9998092,0.00019087213
21,0.0,0.9996611,0.0003388776
22,1.0,0.00068824727,0.9993118
23,1.0,2.671559e-07,0.99999976
24,0.0,0.9996227,0.00037731588
25,1.0,3.2076978e-06,0.9999968
26,0.0,0.99288344,0.007116609
27,1.0,0.00059190945,0.9994081
28,1.0,0.0054033184,0.9945966
29,1.0,0.00020690642,0.9997931
30,1.0,8.5315787e-07,0.99999917
31,1.0,0.0021892816,0.9978108
32,1.0,0.00028286804,0.99971706
33,1.0,1.2047512e-06,0.9999988
34,1.0,0.006039725,0.99396026
35,1.0,0.008406178,0.99159384
36,0.0,0.99997795,2.2003707e-05
37,1.0,1.18130686e-07,0.9999999
38,1.0,0.00013871996,0.99986124
39,1.0,9.017882e-07,0.99999905
40,0.0,0.9996706,0.00032934351
41,0.0,0.9982456,0.001754475
42,1.0,1.2145784e-07,0.9999999
43,1.0,5.6957186e-09,1.0
44,0.0,0.9999995,4.694552e-07
45,1.0,9.515652e-06,0.99999046
46,0.0,0.99987113,0.00012886684
47,1.0,0.0007107283,0.9992893
48,1.0,3.836489e-06,0.9999962
49,1.0,0.00016668916,0.9998332
50,1.0,4.1970696e-05,0.99995804
51,1.0,0.008198609,0.99180144
52,1.0,2.228996e-06,0.99999774
53,1.0,1.3647944e-05,0.9999864
54,1.0,5.262176e-06,0.99999475
55,0.0,0.99999595,4.0250934e-06
56,1.0,3.3167067e-05,0.99996686
57,0.0,0.99868387,0.0013161723
58,1.0,1.9380106e-05,0.99998057
59,1.0,0.0022707928,0.99772924
60,1.0,0.0007122858,0.9992878
61,0.0,0.9977422,0.002257827
62,1.0,0.0008880731,0.99911195
63,1.0,0.00011013882,0.99988985
64,1.0,0.0014686034,0.99853134
65,1.0,3.4876316e-06,0.99999654
66,1.0,6.704684e-05,0.999933
67,0.0,0.9988244,0.0011755504
68,0.0,0.99988544,0.00011459085
69,1.0,9.044659e-07,0.99999905
70,0.0,0.9999535,4.648623e-05
71,1.0,0.009761349,0.99023867
72,1.0,1.4721952e-12,1.0
73,1.0,0.00027253813,0.9997274
74,1.0,1.2006544e-08,1.0
75,1.0,1.5820709e-07,0.9999999
76,1.0,2.8792683e-05,0.99997115
77,1.0,3.4015796e-10,1.0
78,1.0,2.4775585e-05,0.9999752
79,1.0,0.00078317564,0.9992168
80,0.0,0.9997398,0.00026017305
81,0.0,0.9974081,0.002591864
82,1.0,0.00628784,0.9937122
83,0.0,0.9996,0.00040005925
84,1.0,0.0012751003,0.9987249
85,0.0,0.98508346,0.014916519
