id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
0,9.0,3.7760507e-05,0.0006733879,0.0013335248,1.7994536e-05,0.00074632803,0.0007779855,2.4233964e-06,3.1982063e-06,3.4691575e-06,0.9962261,0.00017788581
1,2.0,2.283889e-05,0.55939054,0.44047144,3.8509275e-05,9.154749e-06,1.51757695e-05,4.8143914e-08,9.926691e-06,7.311432e-06,2.0838188e-05,1.4303585e-05
2,9.0,3.075871e-06,0.0022637385,0.000817418,5.2917385e-06,6.5884066e-08,8.969155e-07,2.0584278e-06,1.0810568e-07,5.290181e-07,0.9969061,6.4348507e-07
3,4.0,2.821984e-07,2.7874743e-09,2.1779096e-08,4.7322484e-09,0.999912,3.0775816e-06,4.9284994e-09,3.7356156e-08,8.158645e-09,1.5918309e-07,8.439903e-05
4,5.0,1.1907191e-08,1.9489408e-07,7.9569354e-08,5.516951e-08,8.968618e-05,0.9999094,3.875799e-09,3.646677e-08,6.712087e-09,1.5196603e-07,2.8595332e-07
5,9.0,0.00012560096,7.1922004e-05,4.410707e-05,1.0248832e-05,0.0034868252,0.0439125,0.00032504016,7.93677e-06,2.9942619e-06,0.9518964,0.00011644018
6,0.0,0.9830822,0.002999611,0.005940984,8.911151e-05,0.00035873023,0.0011037526,9.022292e-05,0.0011276425,0.0004585913,0.0023640862,0.0023851437
7,7.0,0.00010964618,1.267584e-06,2.763182e-06,6.8551153e-06,1.7143584e-05,1.0539894e-06,4.9829473e-06,0.9997634,8.367623e-05,7.3115643e-07,8.318409e-06
8,1.0,1.9758983e-05,0.7615201,0.23832864,6.008123e-05,9.717905e-07,1.9201721e-05,1.3090091e-07,2.1999855e-05,7.4449295e-06,2.0711266e-05,1.044214e-06
9,6.0,4.7892166e-07,1.4174831e-08,8.372337e-09,7.2990874e-06,1.4932933e-08,3.4109488e-07,0.99996805,2.533475e-07,2.181777e-07,3.0727622e-06,2.0291744e-05
10,4.0,0.0016582347,1.22371175e-05,3.4035525e-05,6.8425936e-05,0.97305566,0.0037521615,0.0009401858,0.0043398645,4.1708197e-05,0.0012962467,0.014801217
11,10.0,2.9883395e-07,7.1776723e-10,1.5363998e-08,5.133537e-10,8.385981e-06,7.053173e-09,1.7944524e-08,9.950458e-09,2.406006e-08,3.978605e-06,0.99998724
12,9.0,2.4336101e-05,5.0216977e-06,1.0123804e-05,3.3755748e-06,0.023130355,0.007050086,0.00015844617,4.3923883e-06,2.8861725e-06,0.9651294,0.004481551
13,6.0,7.1014574e-07,6.687706e-09,2.3792956e-09,1.7178449e-05,1.732066e-09,3.1122696e-08,0.9999802,1.0373989e-06,2.1819928e-07,1.0927161e-07,4.3947642e-07
14,7.0,0.00039567734,4.6458157e-05,5.809497e-05,0.00038891932,0.00014916473,7.383542e-05,0.0010703582,0.99725133,0.00033457085,0.00018898783,4.265184e-05
15,1.0,4.7403402e-05,0.7211811,0.2781127,0.00048265432,1.5813225e-06,7.977856e-06,7.7837154e-07,2.8739309e-05,1.143113e-05,0.00012104917,4.5859388e-06
16,9.0,7.961097e-06,8.5571247e-07,1.784814e-06,1.5485105e-07,1.389513e-07,9.135045e-08,5.001419e-05,4.952817e-08,1.5649061e-07,0.9998553,8.3404346e-05
17,7.0,2.5551712e-05,3.883045e-06,4.797774e-06,0.00017365637,1.9014042e-05,3.5318658e-06,3.0397077e-05,0.99922967,0.0004911863,8.3141765e-07,1.755221e-05
18,6.0,1.1606443e-06,2.7911634e-08,2.1172296e-08,0.00019972923,9.0136474e-08,2.827607e-07,0.9997731,4.121372e-06,2.1269843e-06,1.1634224e-06,1.8227041e-05
19,9.0,3.5201222e-07,8.010134e-08,4.6370502e-08,3.2109007e-08,1.0972461e-05,9.266467e-06,3.5901955e-06,2.3267374e-08,1.7657824e-08,0.9999753,3.1960454e-07
20,0.0,0.9998908,3.8923587e-05,5.455143e-05,7.253434e-08,2.2124944e-07,2.0144145e-07,3.9883107e-06,5.8115043e-06,8.2799346e-07,2.0879884e-07,4.4230733e-06
21,0.0,0.9585092,0.007858433,0.028157808,2.3676146e-05,0.00018602141,0.003811835,7.908454e-06,0.0006830347,0.00022291743,0.0001187635,0.00042036752
22,6.0,1.20631665e-08,9.2932306e-10,2.4188662e-10,5.733311e-06,4.6191756e-10,9.479547e-09,0.9999937,5.1080707e-07,3.2217997e-08,9.259529e-09,2.8917892e-08
23,9.0,1.006058e-07,3.611274e-07,2.4023876e-07,1.2890203e-07,6.419764e-06,1.9239951e-05,9.435457e-07,3.018344e-08,3.6491745e-08,0.9999684,4.183248e-06
24,8.0,1.5286817e-06,8.6333074e-08,1.9027225e-07,4.3409906e-05,5.9988736e-07,6.1473786e-09,6.0421075e-07,0.0001971573,0.99974996,1.8170248e-07,6.2937393e-06
25,5.0,2.8588167e-07,1.7801315e-07,7.61364e-08,1.9935518e-07,0.0003774603,0.99961674,7.1788435e-07,1.3237199e-06,3.124298e-08,1.1392062e-06,1.8145344e-06
26,6.0,1.4738481e-07,1.618798e-09,8.918818e-10,1.1091216e-05,1.7648031e-09,9.519804e-09,0.9999876,1.724035e-07,4.227388e-08,1.7467379e-07,7.414774e-07
27,10.0,0.000101811704,6.772872e-07,9.8543815e-06,1.3818529e-06,0.0045309975,8.5998745e-06,4.0344588e-07,2.6255489e-06,5.7360994e-06,0.0008965417,0.99444145
28,6.0,9.567286e-09,1.731342e-11,8.633324e-12,2.4648799e-08,1.3025877e-11,2.1237104e-10,0.9999999,6.903383e-09,1.0423226e-09,1.7720734e-09,1.7107115e-07
29,5.0,4.632042e-08,1.3363383e-07,6.220848e-08,2.8381608e-08,8.0552445e-06,0.9999913,2.691677e-08,4.9649074e-08,3.9583825e-09,1.4194283e-07,9.87725e-08
30,5.0,1.2649705e-10,6.7799945e-08,2.8710532e-09,2.5086006e-08,1.1293435e-09,0.9999999,1.2681508e-08,1.3627862e-09,3.1139247e-10,1.030363e-07,8.6017374e-11
31,4.0,1.13094075e-05,2.5940215e-06,5.8233773e-06,4.4813405e-08,0.9995431,0.0004332413,4.405269e-09,1.2924626e-06,4.697551e-08,4.6583903e-08,2.6017317e-06
32,8.0,5.3858116e-08,4.5370965e-09,6.8422774e-09,4.0774958e-06,1.1121014e-08,1.824087e-10,3.2140832e-08,1.8208736e-06,0.9999933,7.3330098e-09,7.3469613e-07
33,6.0,1.5083933e-06,1.0704783e-08,4.801723e-09,8.300776e-06,5.8527316e-08,4.8037384e-07,0.99997723,1.3991207e-06,1.2016426e-07,2.5146542e-06,8.39209e-06
34,5.0,1.3636699e-07,2.9861928e-06,7.061432e-07,2.5955037e-06,0.00016374727,0.99981564,2.56183e-08,1.717708e-07,3.508646e-08,1.3768948e-05,2.398182e-07
35,6.0,1.44737e-07,2.0233641e-09,1.5213985e-09,7.7308105e-05,1.841535e-09,2.6626477e-08,0.9999206,3.4330824e-07,3.5167184e-07,1.4527909e-07,1.033482e-06
36,1.0,0.00021720576,0.8890285,0.10941689,0.00046823846,1.3213213e-06,4.6489422e-05,1.2371107e-05,3.3364584e-05,1.2258889e-05,0.0007601761,3.1700051e-06
37,8.0,1.716149e-09,2.8834775e-11,1.0114862e-10,4.308677e-08,2.500875e-10,2.4929605e-13,4.5941487e-10,1.1411535e-06,0.9999988,2.0569978e-11,5.6541722e-08
38,5.0,2.12103e-07,6.2163616e-07,3.5197118e-07,3.401768e-06,0.030865122,0.9691195,7.436907e-08,3.9984027e-07,1.03859584e-07,6.1292417e-06,4.1969506e-06
39,7.0,4.9153266e-05,8.5649226e-05,6.1134146e-05,0.00047972435,7.792935e-05,0.00021206436,2.7184806e-05,0.9989813,1.698588e-05,5.960693e-06,2.9686807e-06
40,6.0,9.4167603e-07,7.0058315e-10,5.457541e-10,3.1005314e-08,1.8481155e-09,8.684065e-09,0.99997437,4.248737e-08,7.206968e-09,4.727613e-07,2.4099032e-05
41,10.0,0.0001529346,4.3393722e-08,1.6535975e-07,3.4825916e-07,0.00061509537,5.4960663e-05,0.011442493,3.3857198e-06,1.2448207e-06,2.204865e-05,0.98770744
