id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
0,9.0,0.0045600655,0.06676546,0.037175488,0.006570882,0.00072637544,0.011075751,0.0021844178,0.00026520953,0.0003781687,0.86685914,0.0034390467
1,6.0,0.00014657625,8.281174e-06,2.512894e-06,0.00022660145,1.2876481e-05,4.7537713e-05,0.99875045,9.59274e-05,5.383123e-05,0.00040525492,0.00025011
2,3.0,0.0017618027,0.00020552732,0.00010790507,0.95284766,0.00038635623,0.000663595,0.032787032,0.00017244052,0.0005547391,0.004253223,0.0062596574
3,10.0,0.0018070557,0.00014241449,9.521638e-05,5.67505e-05,0.07512497,0.01561699,0.022315973,0.00066609576,0.00013609271,0.14930579,0.73473257
4,1.0,0.0021276914,0.5386041,0.45216033,0.0058814436,3.7189224e-05,6.5344604e-05,7.901734e-06,0.00023646225,0.00040783823,0.00042840163,4.3241987e-05
5,5.0,0.10243767,0.0010786314,0.0011727933,0.00043224165,0.34503272,0.28809187,0.008722348,0.00074031577,0.00030977695,0.24501209,0.006969563
6,0.0,0.9996444,3.5616264e-05,7.0227536e-05,3.8903695e-06,4.3404947e-05,5.731312e-05,0.00010885083,1.5363486e-05,9.103371e-06,6.1607707e-06,5.745505e-06
7,6.0,0.0014277409,6.406805e-05,2.2252463e-05,0.0038832624,0.00010607808,0.00036026066,0.99230933,0.0005755898,0.00035845817,0.0005627962,0.00033013156
8,5.0,0.00092415535,0.006584057,0.004232573,9.91368e-05,0.044261374,0.94291496,7.7900084e-05,0.00012237769,2.427724e-05,0.0002971296,0.00046203603
9,10.0,7.2570656e-05,7.1936265e-06,8.718961e-06,3.631706e-05,0.00046634936,3.5928744e-05,0.0010000792,1.897634e-05,5.796979e-06,0.0006252519,0.9977229
10,1.0,0.0013073969,0.66683793,0.32848856,0.00050283386,3.7810383e-05,0.00031155767,6.733677e-05,5.128949e-05,5.9436054e-05,0.002261734,7.408402e-05
11,9.0,0.00036562822,8.854947e-05,5.3192776e-05,0.00030057316,0.010020075,0.0037605362,0.0010789123,0.00019418569,8.5189684e-05,0.9750165,0.009036634
12,0.0,0.9198844,0.0007507673,0.0008881315,0.00046615442,0.00033819053,0.0012760846,0.0040720454,0.00018361934,0.00035171717,0.07136091,0.00042803914
13,10.0,0.00015731943,1.6214999e-05,1.7618007e-05,1.2292971e-05,0.0124736875,0.00083600066,0.0016149395,0.00029484567,1.1930584e-05,0.0010395721,0.98352563
14,6.0,0.00034466723,1.22407e-05,3.1724007e-06,0.00013642207,3.897517e-05,7.635431e-05,0.9970758,8.904471e-05,4.3692144e-05,0.0018745577,0.00030511036
15,9.0,9.193872e-05,9.501778e-05,0.000100648525,8.523595e-05,0.005919892,0.009460623,5.3184678e-05,1.2794632e-05,1.2496876e-05,0.97982204,0.004346205
16,4.0,0.0047319126,0.001396271,0.00096093933,0.00063893036,0.75558627,0.22495304,0.0006588794,0.00031754927,9.53355e-05,0.0071670623,0.0034937318
17,9.0,0.0009994559,0.00092417723,0.0011177314,5.8351696e-05,0.025017396,0.02319377,0.0001916551,0.00010041333,4.400704e-05,0.9125283,0.035824727
18,6.0,0.0003751274,1.9552723e-05,6.4584997e-06,0.00060246047,0.00010273022,0.00019743259,0.9971029,0.00018342237,6.579677e-05,0.00052600657,0.0008180914
19,10.0,0.0029246765,4.3181353e-05,9.4863586e-05,0.00027009592,0.0002909913,2.9569906e-05,0.0024258355,5.4268323e-05,4.7483638e-05,0.0013336734,0.99248534
20,6.0,0.00011632903,3.0875094e-06,7.6098314e-07,9.7505326e-05,1.2343597e-05,1.5444144e-05,0.9993754,0.00016401659,4.5158755e-05,2.970244e-05,0.0001402384
21,6.0,7.843979e-07,3.827627e-08,8.2001e-09,1.3990528e-06,3.3103703e-07,3.9673938e-07,0.99992776,9.021758e-06,2.1525139e-07,9.494687e-08,5.990198e-05
22,9.0,0.00016194322,0.00014529377,0.00018017601,1.8417115e-05,0.0011697407,0.0008380071,7.865728e-06,1.1752896e-05,1.2984555e-05,0.99618214,0.0012717283
