id,true_0,score_0,score_1
0,1.0,1.07835085e-05,0.9999893
1,1.0,4.477844e-06,0.99999547
2,1.0,4.7508092e-06,0.99999523
3,0.0,0.9999471,5.2924006e-05
4,0.0,0.99990857,9.145867e-05
5,0.0,0.9999988,1.1878324e-06
6,1.0,4.43558e-06,0.9999956
7,1.0,0.00010835486,0.99989164
8,0.0,0.99991035,8.963223e-05
9,1.0,1.3388847e-05,0.99998665
10,0.0,0.99988735,0.000112615206
11,1.0,0.00014845212,0.9998516
12,1.0,4.894816e-05,0.999951
13,1.0,1.0308106e-06,0.9999989
14,1.0,0.000112178146,0.9998878
15,1.0,1.1729637e-05,0.9999883
16,1.0,4.8154507e-05,0.99995184
17,1.0,3.2476205e-06,0.9999968
18,1.0,0.00011224886,0.9998877
19,0.0,0.99993134,6.86955e-05
20,1.0,2.1423111e-06,0.99999785
21,1.0,6.650558e-06,0.9999933
22,1.0,0.0003917608,0.9996082
23,1.0,5.178647e-05,0.99994826
24,0.0,0.99999917,7.762507e-07
25,0.0,0.99997544,2.460718e-05
26,1.0,4.3800737e-05,0.99995625
27,0.0,0.99994147,5.8551665e-05
28,1.0,0.00022961307,0.99977034
29,0.0,0.9999132,8.673141e-05
30,1.0,1.4498969e-05,0.99998546
31,1.0,5.754004e-05,0.9999424
32,0.0,0.99996054,3.9403338e-05
33,1.0,1.3585793e-05,0.9999864
34,1.0,3.2854134e-06,0.99999666
35,0.0,0.99990857,9.1460584e-05
36,1.0,8.585328e-06,0.9999914
37,1.0,7.0780015e-06,0.99999297
38,1.0,1.3401586e-06,0.9999987
39,1.0,1.6236912e-06,0.99999833
40,0.0,0.99999964,3.8178638e-07
41,1.0,3.3863819e-06,0.99999666
42,1.0,0.00032128795,0.99967873
43,1.0,0.00017074475,0.9998292
44,1.0,5.3483673e-06,0.99999464
45,1.0,2.7708854e-06,0.99999726
46,1.0,3.694796e-05,0.99996305
47,1.0,3.003542e-05,0.99996996
48,0.0,0.9999988,1.13977e-06
49,1.0,0.00019308942,0.99980694
50,1.0,2.915945e-06,0.99999714
51,1.0,2.1071132e-06,0.99999785
52,0.0,0.9999887,1.1354596e-05
53,0.0,0.99999094,9.081618e-06
54,0.0,0.9999943,5.775257e-06
55,1.0,6.5103604e-06,0.99999344
56,0.0,0.99999964,3.269475e-07
57,1.0,7.686632e-05,0.9999231
58,1.0,6.94612e-05,0.9999305
59,1.0,1.8280841e-06,0.9999982
60,1.0,4.9608407e-05,0.9999504
61,0.0,0.999895,0.000105003055
62,1.0,8.845082e-05,0.99991155
63,1.0,8.562302e-06,0.9999914
64,1.0,4.8134257e-06,0.99999523
65,0.0,0.99982774,0.00017224721
66,1.0,0.00049839093,0.9995016
67,1.0,5.606087e-06,0.9999944
68,0.0,0.99986243,0.00013754547
69,1.0,2.3998002e-05,0.99997604
70,1.0,5.8492988e-06,0.99999416
71,0.0,0.9997842,0.00021588127
72,0.0,0.99998486,1.5191622e-05
73,1.0,0.000598612,0.99940133
74,1.0,1.8883777e-06,0.9999981
75,1.0,9.561302e-05,0.9999044
76,1.0,3.8414164e-06,0.9999962
77,0.0,0.99996686,3.3159067e-05
78,1.0,4.1489813e-05,0.9999585
79,1.0,2.916902e-06,0.99999714
80,1.0,9.4230563e-07,0.99999905
81,1.0,0.00042801377,0.999572
82,1.0,5.532436e-07,0.9999994
83,1.0,1.594235e-05,0.999984
84,0.0,0.9998354,0.00016464229
85,1.0,1.2829798e-05,0.9999871
86,1.0,4.2740126e-06,0.9999957
87,1.0,7.1006834e-06,0.99999285
